iter	RMSE
0	14.6063398
1	14.20348
2	13.83699747
3	13.54418416
4	13.23429467
5	12.96575854
6	12.64430342
7	12.33999674
8	12.04904565
9	11.76692997
10	11.50084146
11	11.28535681
12	11.04833029
13	10.87270229
14	10.65013981
15	10.42477482
16	10.22180223
17	10.00561685
18	9.7979357
19	9.600089884
20	9.426850481
21	9.238693652
22	9.080755649
23	8.921629597
24	8.761236995
25	8.636524739
26	8.50897716
27	8.387362749
28	8.255961244
29	8.143164703
30	8.0308514
31	7.925818942
32	7.823338278
33	7.73745959
34	7.637218551
35	7.538854578
36	7.454063419
37	7.36358901
38	7.279423428
39	7.18737006
40	7.116815716
41	7.049560054
42	6.976424262
43	6.897968058
44	6.827315073
45	6.769754008
46	6.705774078
47	6.648517528
48	6.591009797
49	6.538726629
50	6.49183552
51	6.443123533
52	6.39028035
53	6.352819823
54	6.298262775
55	6.247033075
56	6.205435727
57	6.161276369
58	6.122323032
59	6.081732265
60	6.044293805
61	6.006588026
62	5.978956821
63	5.95290964
64	5.923352021
65	5.88890002
66	5.866280386
67	5.835466565
68	5.804488148
69	5.777032791
70	5.757766049
71	5.731691946
72	5.706469795
73	5.680953477
74	5.661282602
75	5.64327152
76	5.623381037
77	5.603375085
78	5.5807461
79	5.559415051
80	5.534773564
81	5.515004403
82	5.496050071
83	5.47478506
84	5.454651801
85	5.437231011
86	5.428911812
87	5.415431911
88	5.401366806
89	5.388745019
90	5.3753507
91	5.363545676
92	5.350881647
93	5.339242576
94	5.329178851
95	5.319263527
96	5.307464078
97	5.293083697
98	5.283170825
99	5.27169137
100	5.25872229
101	5.243849378
102	5.235197419
103	5.226048598
104	5.213776581
105	5.200636274
106	5.184195619
107	5.176797684
108	5.164298432
109	5.158484378
110	5.149492308
111	5.139204781
112	5.131302011
113	5.121129808
114	5.111721226
115	5.104266701
116	5.095236494
117	5.088891228
118	5.081212948
119	5.070333128
120	5.063934382
121	5.04978063
122	5.042380054
123	5.035829698
124	5.027554914
125	5.01899181
126	5.013848934
