iter	Passed	Remaining
0	142	142177
1	144	71901
2	146	48660
3	147	36714
4	148	29480
5	149	24754
6	150	21320
7	151	18728
8	151	16730
9	152	15116
10	153	13777
11	153	12666
12	154	11733
13	155	10943
14	156	10253
15	156	9639
16	157	9099
17	158	8629
18	159	8210
19	159	7829
20	160	7491
21	161	7180
22	162	6889
23	162	6626
24	163	6378
25	164	6149
26	164	5936
27	165	5739
28	166	5564
29	166	5397
30	167	5236
31	168	5088
32	168	4950
33	169	4818
34	170	4694
35	170	4576
36	171	4467
37	172	4369
38	173	4273
39	174	4180
40	174	4092
41	175	4012
42	176	3932
43	177	3854
44	178	3778
45	178	3705
46	179	3637
47	180	3571
48	180	3508
49	181	3446
50	182	3388
51	182	3329
52	183	3272
53	183	3222
54	184	3176
55	185	3129
56	186	3084
57	186	3037
58	187	2991
59	188	2947
60	188	2903
61	189	2861
62	189	2820
63	190	2782
64	190	2747
65	191	2711
66	192	2677
67	192	2645
68	193	2613
69	194	2581
70	194	2550
71	195	2520
72	196	2491
73	196	2463
74	197	2437
75	198	2412
76	199	2387
77	200	2364
78	200	2339
79	201	2313
80	201	2289
81	202	2266
82	202	2240
83	203	2220
84	204	2198
85	204	2177
86	205	2156
87	205	2134
88	206	2113
89	207	2093
90	207	2073
91	208	2054
92	208	2036
93	209	2018
94	210	2000
95	210	1982
96	211	1965
97	211	1949
98	212	1932
99	212	1916
100	213	1900
101	214	1884
102	214	1869
103	215	1854
104	216	1841
105	216	1828
106	217	1814
107	218	1801
108	218	1788
109	219	1775
110	220	1762
111	220	1750
112	221	1737
113	221	1725
114	222	1714
115	223	1704
116	224	1692
117	225	1682
118	225	1672
119	226	1661
120	227	1650
121	227	1639
122	228	1628
123	229	1618
124	229	1607
125	230	1596
126	230	1585
127	231	1575
128	231	1566
129	232	1557
130	233	1549
131	234	1540
132	235	1532
133	235	1523
134	236	1515
135	237	1507
136	237	1497
137	238	1488
138	238	1479
139	239	1471
140	240	1463
141	240	1455
142	241	1447
143	242	1439
144	242	1431
145	243	1422
146	243	1414
147	244	1405
148	244	1397
149	245	1390
150	245	1382
151	246	1375
152	247	1367
153	247	1359
154	248	1352
155	248	1344
156	249	1337
157	249	1329
158	250	1322
159	250	1315
160	250	1307
161	251	1300
162	251	1293
163	252	1287
164	252	1280
165	253	1273
166	254	1267
167	254	1260
168	255	1254
169	255	1248
170	256	1242
171	256	1236
172	257	1230
173	257	1224
174	258	1218
175	258	1212
176	259	1206
177	260	1200
178	260	1195
179	261	1189
180	261	1183
181	261	1177
182	262	1172
183	263	1166
184	263	1160
185	264	1155
186	264	1150
187	265	1144
188	265	1139
189	266	1134
190	266	1128
191	267	1123
192	267	1118
193	268	1113
194	268	1108
195	269	1103
196	269	1098
197	270	1094
198	270	1089
199	271	1085
200	271	1080
201	272	1075
202	272	1071
203	273	1066
204	273	1061
205	274	1057
206	274	1052
207	275	1047
208	275	1043
209	276	1039
210	276	1035
211	277	1031
212	277	1026
213	278	1022
214	279	1018
215	279	1014
216	280	1010
217	280	1007
218	281	1003
219	281	999
220	282	995
221	283	991
222	283	988
223	284	985
224	285	982
225	285	978
226	286	975
227	286	971
228	287	967
229	288	964
230	288	960
231	289	957
232	289	954
233	290	950
234	291	947
235	291	943
236	292	940
237	292	937
238	293	934
239	293	930
240	294	927
241	295	924
242	295	921
243	296	918
244	297	915
245	297	912
246	298	908
247	298	905
248	299	902
249	299	899
250	300	896
251	301	893
252	301	890
253	302	887
254	302	884
255	303	881
256	304	878
257	304	876
258	305	873
259	306	871
260	306	868
261	307	865
262	308	863
263	308	861
264	309	858
265	310	856
266	311	854
