iter	RMSE
0	14.03873868
1	13.17427238
2	12.40691373
3	11.63039683
4	11.06589467
5	10.50957727
6	10.02123721
7	9.578861911
8	9.110932567
9	8.7082346
10	8.367577652
11	8.080486055
12	7.834821279
13	7.626777365
14	7.401815988
15	7.208840407
16	7.053676641
17	6.894770697
18	6.731627594
19	6.594837004
20	6.488630123
21	6.390826074
22	6.298081585
23	6.205384129
24	6.14581803
25	6.067970222
26	6.015171275
27	5.947332696
28	5.885795775
29	5.837442643
30	5.794997738
31	5.748932925
32	5.712554259
33	5.679048332
34	5.646391291
35	5.604887971
36	5.57925506
37	5.546045607
38	5.522590829
39	5.495341104
40	5.475888945
41	5.459216867
42	5.443686462
43	5.42357342
44	5.398140227
45	5.379214076
46	5.362518736
47	5.343241768
48	5.329955361
49	5.31843364
50	5.303226778
51	5.290350725
52	5.274093599
53	5.243531062
54	5.23080961
55	5.210137316
56	5.191231456
57	5.175042599
58	5.161745606
59	5.151358643
60	5.14089897
61	5.127667727
62	5.120797525
63	5.107314599
64	5.090841022
65	5.078933112
66	5.063436615
67	5.046108782
68	5.033588821
69	5.020245668
70	5.008270285
71	4.992257104
72	4.968500289
73	4.95748946
74	4.940812445
75	4.92311572
76	4.911466881
77	4.902694583
78	4.889540618
79	4.874479086
80	4.860463485
81	4.852779509
82	4.83791215
83	4.829720733
84	4.810949487
85	4.800473215
86	4.784410833
87	4.767921563
88	4.756422515
89	4.737072084
90	4.722807917
91	4.708860057
92	4.693928439
93	4.681871216
94	4.663835246
95	4.645161433
96	4.631809572
97	4.610483259
98	4.601640642
99	4.586759308
