iter	Passed	Remaining
0	0	92
1	1	78
2	2	73
3	2	70
4	3	70
5	4	70
6	5	70
7	6	69
8	6	66
9	7	66
10	8	67
11	9	66
12	9	64
13	10	63
14	11	64
15	12	65
16	13	64
17	14	64
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	20	57
26	20	56
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	26	53
33	27	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	21
73	57	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	75	0
